input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,input_11,input_12
13.0,-5.0,23.0,7.0,7.0,30.0,14.0,187.64217607215298,65.46388556159452,72.23044745118447,21.72903481548296,185.9599181737204
6.0,-12.0,25.0,2.0,14.0,12.0,20.0,101.05225693453066,29.488386695263923,136.85449903208712,104.41346850738778,115.88449738141166
-6.0,12.0,18.0,9.0,25.0,8.0,33.0,100.32981089492982,192.4268796166034,29.308793813806446,113.30153631730484,101.47841316698747
-14.0,-16.0,14.0,21.0,6.0,3.0,29.0,2.4091975464763493,196.5751722821418,2.0468616682079555,174.4822812923719,47.928977271573835
-4.0,3.0,20.0,13.0,31.0,7.0,31.0,169.31611334589306,67.14814098303015,48.39373855059412,26.162127705433868,171.47204019908733
0.0,-5.0,20.0,16.0,18.0,6.0,21.0,109.23940346895591,160.16350626532352,102.67082872841031,72.72149960958754,55.310361943197805
4.0,2.0,27.0,32.0,12.0,8.0,31.0,132.12346340191348,161.9480632607595,182.75527227304536,180.10568265318318,42.89007933102522
-11.0,-2.0,23.0,32.0,25.0,16.0,20.0,51.50541332418512,187.03669575819006,85.44618141781235,199.67516884005536,37.14259681335284
1.0,2.0,7.0,21.0,11.0,8.0,30.0,161.47294006286404,54.73534028312488,26.95992786964232,18.917851599453407,23.15024678390012
-11.0,-9.0,8.0,32.0,26.0,18.0,4.0,98.3600203263589,108.24947810433787,174.6112216521934,56.00396839297408,29.700919725574092
13.0,-1.0,30.0,7.0,2.0,20.0,15.0,190.02749059245002,33.708264208896765,68.31187311442687,65.17711282878736,126.50806566371095
15.0,-11.0,11.0,17.0,14.0,24.0,14.0,129.29647312342755,139.29088982002398,161.35657349546202,47.262511105728365,47.44077502043231
-15.0,-12.0,16.0,33.0,31.0,28.0,6.0,112.10337882016846,36.76907281886381,18.71601064063979,4.56396477770995,84.83624858712619
-7.0,12.0,18.0,17.0,23.0,29.0,3.0,96.30566079872122,167.13194390796053,132.87647665478636,189.0302769809629,135.52603419547708
8.0,5.0,25.0,13.0,12.0,12.0,15.0,194.40922666169308,136.31582845469768,144.45905803264392,58.64782931233978,138.48714835283624
6.0,-12.0,12.0,22.0,21.0,29.0,22.0,38.79997470669012,142.74258347103608,23.48464323552879,36.08078338029039,60.67062959246534
-10.0,7.0,9.0,8.0,9.0,6.0,25.0,46.22863456940402,146.2735565124248,62.11969537266624,19.574680713311498,94.63260175472263
-12.0,0.0,26.0,9.0,5.0,17.0,28.0,134.1169526403799,144.6339886101867,58.18941503955497,115.56364720824703,83.91440662823855
-16.0,8.0,10.0,17.0,27.0,11.0,6.0,46.36797583473036,90.22322082164959,132.07066505800609,9.67339300763712,73.75443492194603
16.0,1.0,30.0,11.0,4.0,25.0,20.0,118.33143683604135,113.6913758158832,74.47522418509156,140.76191722142073,172.58337486239975
-2.0,-8.0,13.0,11.0,7.0,23.0,30.0,145.5237254295866,131.07010620705591,155.48425071475955,51.80258790523027,183.1841967430478
11.0,6.0,24.0,27.0,11.0,14.0,25.0,38.594849238855325,30.382062973241155,85.09020272172747,117.19649202429514,107.05088486608956
15.0,-2.0,8.0,30.0,25.0,10.0,28.0,44.14259833650276,155.07645641172255,60.01992884715985,6.752948148840976,108.78716294148762
1.0,-8.0,23.0,15.0,9.0,20.0,10.0,116.16427695532516,77.21409309005634,32.85705546596582,1.802161221857479,126.99551603034874
1.0,8.0,22.0,16.0,24.0,28.0,23.0,196.3029784437776,91.7937086686554,177.48570330264138,53.236146911744896,88.1162616645732
8.0,0.0,31.0,7.0,29.0,13.0,5.0,14.629988232572288,19.87314555747599,144.23614269181402,151.28028365057068,33.41159343143638
-3.0,12.0,14.0,33.0,33.0,4.0,19.0,162.21074201624646,185.94065212181502,50.908862241865016,79.55782407906385,90.25363189640841
8.0,-9.0,27.0,24.0,26.0,22.0,7.0,119.06192779816789,12.759760889462912,70.51384194007821,198.74264969513467,157.00143618719417
-6.0,8.0,28.0,3.0,22.0,5.0,10.0,163.10683604475557,79.85358027150689,153.48017008839022,171.26606404989136,8.324182566934656
16.0,8.0,18.0,8.0,5.0,27.0,24.0,118.90894405694313,104.28459526866074,144.66072491623947,74.77233647770076,186.1264805652227
-6.0,3.0,21.0,14.0,15.0,14.0,24.0,175.45515734485102,5.563206576938673,58.6556265494601,16.801125571668596,24.593516633178215
8.0,-1.0,32.0,3.0,22.0,29.0,31.0,151.88576765103753,39.527496320490926,9.00964801791002,12.470587834216085,1.2900281139570868
-13.0,-10.0,29.0,31.0,22.0,17.0,19.0,36.393888147541745,167.73468675131895,113.49724415961306,150.1657451825909,161.4204484319344
3.0,-11.0,5.0,13.0,8.0,16.0,26.0,13.396960661510725,127.55552436538717,48.88376347315588,186.1947130257946,24.523453497938206
13.0,2.0,23.0,27.0,25.0,31.0,7.0,52.44393782548931,44.905357116163216,51.43243430752504,30.12481558995168,120.09963891242461
-6.0,-1.0,26.0,13.0,22.0,4.0,13.0,79.98051862851226,33.945664358388264,26.42937089264872,189.72996787139522,182.99125446957657
-3.0,0.0,33.0,27.0,16.0,9.0,3.0,102.69454271993068,160.30787674498274,27.06607472713256,124.14702156153375,30.343455830674326
-15.0,-16.0,31.0,30.0,23.0,9.0,24.0,58.8268768388607,49.005928582353505,57.07203117903765,179.61537790289407,101.93375341585079
6.0,11.0,8.0,11.0,14.0,32.0,31.0,168.56528430777612,1.7430214665736132,12.23413017305861,160.54378094701823,14.231257237532535
10.0,-8.0,5.0,26.0,25.0,11.0,25.0,23.64252343070934,138.91465204635938,66.73402260120149,179.0776930323811,30.085403239449192
16.0,2.0,2.0,8.0,22.0,10.0,23.0,57.52581634181632,145.95984242252348,151.90863643638016,47.05969178559128,161.1495933959518
6.0,-1.0,4.0,20.0,17.0,22.0,16.0,2.658119263461378,57.05980937712247,135.85345549978365,117.89122245668999,66.49516521593573
-5.0,3.0,10.0,25.0,11.0,16.0,11.0,105.06201290275348,180.8187686937915,152.0767664802373,55.28525381142815,30.07953965854655
-12.0,0.0,18.0,11.0,32.0,22.0,15.0,80.6873745519882,97.04118730394211,55.91362158594233,14.224562812114637,55.32535436849726
-1.0,-15.0,16.0,23.0,15.0,6.0,2.0,70.66794773197161,27.33244278492233,173.5554317040792,192.69037284079081,41.406367617058336
-4.0,15.0,25.0,29.0,6.0,6.0,18.0,107.78073793344886,125.31519100009365,92.40535273406682,180.86976477375975,57.410989248381306
4.0,10.0,2.0,32.0,2.0,17.0,21.0,3.1083852719972604,8.001746223752026,107.60834778231457,146.166193719037,199.78878755717403
8.0,3.0,14.0,14.0,24.0,24.0,30.0,34.85400122014142,86.93910600992179,57.60454084550639,35.3883381102015,63.18344851762938
-4.0,1.0,25.0,20.0,22.0,10.0,2.0,113.29103043164494,151.06633315477742,155.36640085227617,88.8132066740357,58.1704709923156
-12.0,-16.0,28.0,13.0,13.0,6.0,31.0,50.43632131333966,167.73527154669065,94.0650774226363,136.77898447939035,44.30841480984569
14.0,-14.0,12.0,27.0,6.0,31.0,12.0,84.79791359469813,79.71450416931063,125.50784895939628,166.21118608318417,35.14985499113901
-12.0,-2.0,16.0,27.0,8.0,9.0,28.0,89.85198235342932,79.03583151913158,2.6404881120813517,5.251565563460936,155.36849165166143
11.0,-4.0,26.0,25.0,5.0,20.0,16.0,190.73171098619068,155.71174198834365,118.80048661489381,86.67078616499646,123.46625045971342
9.0,-8.0,31.0,12.0,33.0,16.0,22.0,193.15962814361575,77.09700258949377,158.18300337181225,130.78527569273635,142.78006405893095
4.0,16.0,5.0,17.0,23.0,2.0,22.0,158.53693800583562,50.42423807865555,48.658715721051294,140.34513286910496,179.35032829071864
